name,euc_dist,L1_dist,X2_distance,histogram_similarity,hellinger_kernel
bbdd_00256.pkl-bbdd_00215.pkl,0.07532634,0.86538035,107.81951,0.5673098,0.8566569
bbdd_00256.pkl-bbdd_00077.pkl,0.11095039,1.1939993,130.1023,0.40300038,0.7137425
bbdd_00256.pkl-bbdd_00115.pkl,0.042393815,0.4620487,118.71598,0.7689757,0.9517965
bbdd_00256.pkl-bbdd_00000.pkl,0.080056876,0.94227827,141.27518,0.5288609,0.8439404
bbdd_00256.pkl-bbdd_00020.pkl,0.11597881,1.3420037,151.42671,0.3289981,0.6754666
bbdd_00256.pkl-bbdd_00048.pkl,0.111887686,1.3839955,175.44037,0.3080022,0.6967019
bbdd_00256.pkl-bbdd_00017.pkl,0.07240873,0.7857288,120.164314,0.6071356,0.8734174
bbdd_00256.pkl-bbdd_00094.pkl,0.08174483,0.9984207,131.10966,0.50078964,0.8349126
bbdd_00256.pkl-bbdd_00286.pkl,0.056170136,0.6730324,109.89307,0.6634838,0.8967691
bbdd_00256.pkl-bbdd_00075.pkl,0.084199265,1.0013487,156.0714,0.49932566,0.79056597
bbdd_00256.pkl-bbdd_00116.pkl,0.11038059,1.3269739,141.35246,0.3365131,0.7226865
bbdd_00256.pkl-bbdd_00279.pkl,0.06134449,0.7531842,129.6755,0.6234079,0.880741
bbdd_00256.pkl-bbdd_00270.pkl,0.14061408,1.4349539,163.30463,0.282523,0.61183745
bbdd_00256.pkl-bbdd_00281.pkl,0.051295742,0.5669768,119.353745,0.7165116,0.9093422
bbdd_00256.pkl-bbdd_00241.pkl,0.05739514,0.63584614,124.649155,0.68207693,0.9050862
bbdd_00256.pkl-bbdd_00086.pkl,0.05832476,0.68342406,122.05568,0.65828794,0.907635
bbdd_00256.pkl-bbdd_00047.pkl,0.115618706,1.2752042,134.07648,0.36239788,0.72576773
bbdd_00256.pkl-bbdd_00082.pkl,0.055756032,0.6161771,101.96,0.69191146,0.916102
bbdd_00256.pkl-bbdd_00262.pkl,0.07120741,0.7314523,94.00085,0.6342738,0.8775498
bbdd_00256.pkl-bbdd_00030.pkl,0.081424624,0.7870827,186.87804,0.60645866,0.8427724
bbdd_00256.pkl-bbdd_00223.pkl,0.09150441,0.89549685,122.54098,0.5522516,0.8565522
bbdd_00256.pkl-bbdd_00173.pkl,0.08636547,0.90352917,119.00976,0.5482354,0.8494899
bbdd_00256.pkl-bbdd_00182.pkl,0.12850611,1.4665172,170.99695,0.2667414,0.607761
bbdd_00256.pkl-bbdd_00142.pkl,0.091366656,1.0257666,176.44324,0.48711666,0.78983325
bbdd_00256.pkl-bbdd_00150.pkl,0.08263849,1.042908,141.81564,0.478546,0.83744836
bbdd_00256.pkl-bbdd_00039.pkl,0.06519194,0.70158726,91.886215,0.64920634,0.8893914
bbdd_00256.pkl-bbdd_00045.pkl,0.04828248,0.49420485,75.92517,0.75289756,0.9401807
bbdd_00256.pkl-bbdd_00188.pkl,0.06343454,0.8234022,129.36325,0.58829886,0.8766249
bbdd_00256.pkl-bbdd_00065.pkl,0.11659279,1.4960544,179.36584,0.25197282,0.61909586
bbdd_00256.pkl-bbdd_00156.pkl,0.068546005,0.8656673,129.18654,0.5671663,0.8738823
bbdd_00256.pkl-bbdd_00070.pkl,0.08706731,1.0624614,119.11615,0.46876937,0.81857574
bbdd_00256.pkl-bbdd_00090.pkl,0.119654976,1.4235518,169.12764,0.2882241,0.6550987
bbdd_00256.pkl-bbdd_00209.pkl,0.14517222,1.5551314,189.10391,0.22243428,0.52226794
bbdd_00256.pkl-bbdd_00232.pkl,0.0988113,1.1551512,120.544205,0.42242438,0.78316313
bbdd_00256.pkl-bbdd_00007.pkl,0.10051054,1.2026987,160.81476,0.39865062,0.77452004
bbdd_00256.pkl-bbdd_00213.pkl,0.0836556,0.7771021,146.49652,0.61144894,0.86938864
bbdd_00256.pkl-bbdd_00067.pkl,0.096131146,1.156188,158.9364,0.421906,0.75153756
bbdd_00256.pkl-bbdd_00058.pkl,0.084777616,1.1209389,148.69789,0.43953052,0.7941277
bbdd_00256.pkl-bbdd_00179.pkl,0.11553851,0.9409304,117.00192,0.5295348,0.8421271
bbdd_00256.pkl-bbdd_00212.pkl,0.103017256,1.3042779,169.5914,0.34786105,0.6739421
bbdd_00256.pkl-bbdd_00144.pkl,0.04591998,0.51540977,99.59843,0.7422951,0.9244096
bbdd_00256.pkl-bbdd_00161.pkl,0.09997662,1.1934062,148.28876,0.40329692,0.74472046
bbdd_00256.pkl-bbdd_00053.pkl,0.11263199,1.1249844,138.4747,0.4375078,0.7090533
bbdd_00256.pkl-bbdd_00018.pkl,0.115281224,1.3164363,151.58463,0.34178185,0.6886329
bbdd_00256.pkl-bbdd_00284.pkl,0.073760875,0.76506966,111.73224,0.6174652,0.88271326
bbdd_00256.pkl-bbdd_00100.pkl,0.11425036,1.4743948,197.3242,0.2628026,0.60040545
bbdd_00256.pkl-bbdd_00130.pkl,0.062764965,0.6748922,92.201385,0.6625539,0.9040097
bbdd_00256.pkl-bbdd_00221.pkl,0.06871094,0.7615144,178.35873,0.6192428,0.824596
bbdd_00256.pkl-bbdd_00106.pkl,0.101556465,1.3255022,181.59053,0.33724886,0.6757853
bbdd_00256.pkl-bbdd_00016.pkl,0.09397251,1.1616288,155.36108,0.4191856,0.7812842
bbdd_00256.pkl-bbdd_00252.pkl,0.085181214,0.81238353,104.94678,0.59380823,0.8698074
bbdd_00256.pkl-bbdd_00037.pkl,0.089864984,0.90899026,139.6455,0.54550487,0.83306503
bbdd_00256.pkl-bbdd_00167.pkl,0.059419647,0.7093042,114.11006,0.6453479,0.8964592
bbdd_00256.pkl-bbdd_00128.pkl,0.056034513,0.4997665,96.42946,0.75011677,0.9475109
bbdd_00256.pkl-bbdd_00201.pkl,0.12099891,1.293653,170.30952,0.3531735,0.71197176
bbdd_00256.pkl-bbdd_00014.pkl,0.07516939,0.9059677,148.29483,0.54701614,0.802075
bbdd_00256.pkl-bbdd_00199.pkl,0.095107906,0.94723505,124.77439,0.52638245,0.816432
bbdd_00256.pkl-bbdd_00166.pkl,0.0862425,1.0871313,142.33096,0.45643443,0.79467916
bbdd_00256.pkl-bbdd_00038.pkl,0.099263124,1.0601568,138.55383,0.46992156,0.78039175
bbdd_00256.pkl-bbdd_00011.pkl,0.07579205,0.8833537,165.54912,0.5583232,0.8218746
bbdd_00256.pkl-bbdd_00236.pkl,0.12638448,1.5503887,184.14157,0.22480562,0.5660043
